"Interview_difficulty","Interview_experience","Offer","Company_name","Referral","process_time","sector"
"Easy Interview","Positive Experience","Offer","IBM",NA,NA,"Tech"
"Easy Interview","Positive Experience","No Offer","IBM","College Or University",NA,"Tech"
"Easy Interview","Neutral Experience","No Offer","IBM","Recruiter",NA,"Tech"
"Easy Interview","Neutral Experience","Offer","IBM","Online",NA,"Tech"
"Difficult Interview","Neutral Experience","No Offer","IBM","College Or University",NA,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","College Or University",14,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",180,"Tech"
"Average Interview","Positive Experience","Offer","IBM","In-Person",1,"Tech"
"Difficult Interview","Neutral Experience","No Offer","IBM","College Or University",2,"Tech"
"Easy Interview","Neutral Experience","No Offer","IBM","Employee Referral",1,"Tech"
"Easy Interview","Neutral Experience","Offer","IBM","In-Person",60,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",60,"Tech"
"Easy Interview","Neutral Experience","Offer","IBM","Online",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",28,"Tech"
"Average Interview",NA,"No Offer","IBM","College Or University",NA,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Employee Referral",14,"Tech"
NA,NA,"Offer","IBM",NA,NA,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Easy Interview","Neutral Experience","No Offer","IBM","Recruiter",NA,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",14,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Online",28,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Employee Referral",60,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Staffing Agency",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Other Source",5,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Other Source",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",42,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Online",120,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",28,"Tech"
"Easy Interview","Neutral Experience","Offer","IBM","Employee Referral",60,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Online",14,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Employee Referral",NA,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Employee Referral",60,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","College Or University",7,"Tech"
NA,"Neutral Experience","No Offer","IBM",NA,NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
"Easy Interview","Negative Experience","No Offer","IBM","Online",60,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","College Or University",3,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM",NA,NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",1,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Employee Referral",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",1,"Tech"
"Easy Interview","Negative Experience","Offer","IBM","Online",150,"Tech"
NA,NA,"Offer","IBM","Online",90,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",60,"Tech"
"Average Interview","Negative Experience","No Offer","IBM",NA,14,"Tech"
"Easy Interview","Positive Experience","No Offer","IBM","College Or University",21,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",28,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Other Source",60,"Tech"
"Average Interview","Negative Experience","No Offer","IBM","Recruiter",NA,"Tech"
"Easy Interview","Neutral Experience","No Offer","IBM","Online",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
"Difficult Interview","Positive Experience","No Offer","IBM","College Or University",28,"Tech"
"Average Interview",NA,"No Offer","IBM","College Or University",NA,"Tech"
NA,NA,"No Offer","IBM","College Or University",28,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","College Or University",14,"Tech"
"Easy Interview","Negative Experience","Offer","IBM",NA,NA,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",14,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Employee Referral",1,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",28,"Tech"
NA,"Positive Experience","Offer","IBM",NA,NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",5,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",28,"Tech"
"Average Interview","Positive Experience","Offer","IBM",NA,7,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",42,"Tech"
"Average Interview","Negative Experience","No Offer","IBM","Online",NA,"Tech"
"Average Interview","Negative Experience","Offer","IBM","Online",7,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",28,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Employee Referral",60,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","College Or University",14,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Employee Referral",7,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","College Or University",28,"Tech"
"Difficult Interview","Negative Experience","No Offer","IBM","Online",1,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Employee Referral",NA,"Tech"
"Easy Interview","Neutral Experience","No Offer","IBM","College Or University",1,"Tech"
"Average Interview","Negative Experience","Offer","IBM","Employee Referral",14,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Employee Referral",90,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",60,"Tech"
"Easy Interview","Negative Experience","No Offer","IBM","Online",42,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",3,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",1,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","College Or University",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",28,"Tech"
"Difficult Interview","Neutral Experience","No Offer","IBM","Online",NA,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Negative Experience","No Offer","IBM","Online",2,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Staffing Agency",1,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",21,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
NA,"Negative Experience","No Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Other Source",14,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Difficult Interview","Neutral Experience","No Offer","IBM","Online",NA,"Tech"
NA,"Negative Experience","No Offer","IBM",NA,NA,"Tech"
"Average Interview","Negative Experience","No Offer","IBM","Online",60,"Tech"
NA,"Negative Experience","No Offer","IBM","Online",21,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",21,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Recruiter",14,"Tech"
"Easy Interview","Neutral Experience","Offer","IBM","Other Source",5,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",28,"Tech"
"Difficult Interview","Neutral Experience","Offer","IBM","Online",21,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",NA,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",28,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",1,"Tech"
"Average Interview","Negative Experience","No Offer","IBM","Online",60,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM",NA,NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Employee Referral",60,"Tech"
"Difficult Interview","Negative Experience","No Offer","IBM","College Or University",14,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM",NA,NA,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",1,"Tech"
"Difficult Interview","Positive Experience","No Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",21,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM",NA,NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
"Average Interview","Negative Experience","No Offer","IBM","College Or University",28,"Tech"
NA,"Positive Experience","No Offer","IBM",NA,21,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
NA,"Positive Experience","Offer","IBM",NA,35,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",60,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","College Or University",21,"Tech"
"Difficult Interview","Negative Experience","No Offer","IBM","Online",NA,"Tech"
"Difficult Interview","Neutral Experience","No Offer","IBM","College Or University",28,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Recruiter",NA,"Tech"
"Easy Interview","Positive Experience","No Offer","IBM","Recruiter",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Employee Referral",14,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",14,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",NA,"Tech"
"Easy Interview","Negative Experience","No Offer","IBM","Online",90,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",21,"Tech"
NA,"Neutral Experience","Offer","IBM","Online",14,"Tech"
"Difficult Interview","Neutral Experience","No Offer","IBM","Other Source",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",28,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",NA,"Tech"
"Difficult Interview","Negative Experience","Offer","IBM","Online",150,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",21,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Other Source",NA,"Tech"
"Easy Interview","Negative Experience","Offer","IBM","Recruiter",NA,"Tech"
"Easy Interview","Negative Experience","No Offer","IBM",NA,2,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Difficult Interview","Neutral Experience","Offer","IBM","Online",NA,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",60,"Tech"
"Easy Interview","Negative Experience","No Offer","IBM","Online",28,"Tech"
NA,"Neutral Experience","No Offer","IBM",NA,NA,"Tech"
"Average Interview","Negative Experience","No Offer","IBM","College Or University",28,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","College Or University",NA,"Tech"
"Easy Interview","Negative Experience","No Offer","IBM","Online",120,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Difficult Interview","Neutral Experience","No Offer","IBM","College Or University",NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM",NA,30,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",28,"Tech"
"Easy Interview","Negative Experience","No Offer","IBM","Employee Referral",42,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",35,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",28,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",60,"Tech"
"Easy Interview","Positive Experience","No Offer","IBM","Online",NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",180,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",14,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",14,"Tech"
"Average Interview","Negative Experience","Offer","IBM","Other Source",21,"Tech"
"Difficult Interview","Negative Experience","No Offer","IBM","Employee Referral",5,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Other Source",NA,"Tech"
"Average Interview","Negative Experience","No Offer","IBM","Employee Referral",21,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","In-Person",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",14,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","In-Person",2,"Tech"
"Average Interview","Negative Experience","No Offer","IBM","Employee Referral",NA,"Tech"
"Difficult Interview","Neutral Experience","Offer","IBM","College Or University",42,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Other Source",2,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",150,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Recruiter",NA,"Tech"
"Difficult Interview","Positive Experience","No Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",21,"Tech"
"Easy Interview","Negative Experience","No Offer","IBM","Online",42,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",21,"Tech"
"Easy Interview","Negative Experience","Offer","IBM","College Or University",NA,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",2,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",7,"Tech"
"Easy Interview","Positive Experience","No Offer","IBM","College Or University",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Staffing Agency",2,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","College Or University",2,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",21,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",60,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Recruiter",14,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",3,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",28,"Tech"
"Easy Interview","Negative Experience","No Offer","IBM",NA,14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",28,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",21,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Easy Interview","Neutral Experience","Offer","IBM","Recruiter",1,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Recruiter",NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",14,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",3,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Other Source",2,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",28,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",NA,"Tech"
NA,"Positive Experience","Offer","IBM","Employee Referral",NA,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Employee Referral",14,"Tech"
"Difficult Interview","Positive Experience","No Offer","IBM","Online",4,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Employee Referral",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",21,"Tech"
"Difficult Interview","Negative Experience","No Offer","IBM","Online",60,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",14,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",28,"Tech"
"Easy Interview","Neutral Experience","No Offer","IBM","Recruiter",14,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Recruiter",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Recruiter",28,"Tech"
"Difficult Interview","Neutral Experience","Offer","IBM","Online",90,"Tech"
"Difficult Interview","Neutral Experience","No Offer","IBM","Online",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Employee Referral",14,"Tech"
"Easy Interview","Positive Experience","No Offer","IBM","Employee Referral",4,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",1,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","College Or University",42,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Recruiter",14,"Tech"
NA,NA,"Offer","IBM","Online",NA,"Tech"
"Difficult Interview","Neutral Experience","Offer","IBM","College Or University",60,"Tech"
"Easy Interview","Positive Experience","No Offer","IBM","Employee Referral",35,"Tech"
NA,NA,"Offer","IBM",NA,NA,"Tech"
NA,NA,"No Offer","IBM","College Or University",1,"Tech"
"Difficult Interview",NA,"Offer","IBM","In-Person",4,"Tech"
NA,NA,"Offer","IBM",NA,NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",21,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",14,"Tech"
"Easy Interview","Neutral Experience","Offer","IBM","Online",28,"Tech"
NA,NA,"No Offer","IBM","College Or University",21,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Other Source",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM",NA,28,"Tech"
"Easy Interview","Neutral Experience","Offer","IBM","Online",14,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",1,"Tech"
"Average Interview","Neutral Experience","Offer","IBM",NA,14,"Tech"
"Average Interview","Positive Experience","Offer","IBM",NA,14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",14,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Recruiter",28,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","College Or University",60,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Recruiter",14,"Tech"
"Difficult Interview","Neutral Experience","Offer","IBM","Online",120,"Tech"
"Average Interview",NA,"No Offer","IBM","Online",35,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",1,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","College Or University",28,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Staffing Agency",1,"Tech"
NA,NA,"Offer","IBM",NA,NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",90,"Tech"
NA,"Positive Experience","Offer","IBM",NA,NA,"Tech"
NA,NA,"Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM",NA,NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",21,"Tech"
"Average Interview","Negative Experience","Offer","IBM","Employee Referral",180,"Tech"
NA,NA,"Offer","IBM",NA,NA,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Employee Referral",14,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",NA,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","College Or University",120,"Tech"
NA,NA,"Offer","IBM",NA,NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Employee Referral",14,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
NA,NA,"Offer","IBM",NA,NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","In-Person",14,"Tech"
NA,NA,"Offer","IBM",NA,NA,"Tech"
"Average Interview",NA,"No Offer","IBM",NA,NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Employee Referral",90,"Tech"
NA,"Positive Experience","Offer","IBM","Employee Referral",28,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",14,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",NA,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",1,"Tech"
"Easy Interview","Negative Experience","No Offer","IBM","College Or University",21,"Tech"
"Easy Interview","Neutral Experience","Offer","IBM","Online",NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",14,"Tech"
"Difficult Interview","Neutral Experience","No Offer","IBM","Online",NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",21,"Tech"
"Average Interview","Negative Experience","Offer","IBM","College Or University",60,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Employee Referral",NA,"Tech"
"Difficult Interview","Neutral Experience","Offer","IBM",NA,14,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
"Easy Interview","Negative Experience","Offer","IBM","College Or University",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Employee Referral",NA,"Tech"
"Average Interview",NA,"Offer","IBM","Online",60,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Recruiter",28,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",14,"Tech"
"Difficult Interview","Neutral Experience","No Offer","IBM","Online",1,"Tech"
NA,NA,"Offer","IBM","Online",NA,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","In-Person",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM",NA,28,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Recruiter",150,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Recruiter",60,"Tech"
"Average Interview","Neutral Experience","No Offer","IBM","Online",90,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","In-Person",NA,"Tech"
"Difficult Interview","Neutral Experience","No Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",2,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",28,"Tech"
"Average Interview","Positive Experience","Offer","IBM",NA,2,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Recruiter",60,"Tech"
NA,NA,"Offer","IBM","Online",60,"Tech"
"Average Interview","Negative Experience","No Offer","IBM","Recruiter",150,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Recruiter",90,"Tech"
NA,"Neutral Experience","No Offer","IBM","Employee Referral",60,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Recruiter",42,"Tech"
"Average Interview","Negative Experience","No Offer","IBM","Recruiter",1,"Tech"
"Difficult Interview","Neutral Experience","Offer","IBM","Recruiter",14,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Employee Referral",35,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",21,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",60,"Tech"
"Difficult Interview","Positive Experience","No Offer","IBM","Online",14,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Online",60,"Tech"
"Easy Interview","Neutral Experience","No Offer","IBM","College Or University",1,"Tech"
"Average Interview","Positive Experience","No Offer","IBM","Online",NA,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","College Or University",14,"Tech"
"Average Interview","Neutral Experience","Offer","IBM","Online",21,"Tech"
"Average Interview","Negative Experience","Offer","IBM","Online",60,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Other Source",1,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",21,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",21,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
"Difficult Interview","Negative Experience","Offer","IBM","Employee Referral",180,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","In-Person",1,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",21,"Tech"
"Average Interview","Negative Experience","Offer","IBM","Employee Referral",90,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",14,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Online",28,"Tech"
"Average Interview","Positive Experience","Offer","IBM",NA,14,"Tech"
"Average Interview","Positive Experience","Offer","IBM",NA,NA,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",21,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",21,"Tech"
"Average Interview","Positive Experience","Offer","IBM","College Or University",NA,"Tech"
"Difficult Interview","Negative Experience","Offer","IBM","Employee Referral",180,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","In-Person",1,"Tech"
"Easy Interview","Positive Experience","Offer","IBM","Employee Referral",21,"Tech"
"Average Interview","Negative Experience","Offer","IBM","Employee Referral",90,"Tech"
"Average Interview","Positive Experience","Offer","IBM","Online",14,"Tech"
"Difficult Interview","Positive Experience","Offer","IBM","Online",28,"Tech"
"Average Interview","Positive Experience","Offer","IBM",NA,14,"Tech"
"Average Interview","Positive Experience","Offer","IBM",NA,NA,"Tech"
"Average Interview","Negative Experience","No Offer","Microsoft","Online",5,"Tech"
"Average Interview","Positive Experience","No Offer","Microsoft","In-Person",1,"Tech"
"Difficult Interview",NA,"Offer","Microsoft","Online",NA,"Tech"
NA,NA,"No Offer","Microsoft",NA,180,"Tech"
"Easy Interview",NA,"No Offer","Microsoft","Recruiter",1,"Tech"
"Average Interview","Positive Experience","Offer","Microsoft","Online",NA,"Tech"
NA,"Positive Experience","Offer","Microsoft",NA,1,"Tech"
"Average Interview","Negative Experience","No Offer","Microsoft","Recruiter",NA,"Tech"
"Difficult Interview","Negative Experience","No Offer","Microsoft","Online",28,"Tech"
"Average Interview","Positive Experience","Offer","Microsoft","Recruiter",90,"Tech"
"Easy Interview","Neutral Experience","No Offer","Microsoft","College Or University",21,"Tech"
"Average Interview","Positive Experience","Offer","Microsoft","Recruiter",28,"Tech"
NA,"Neutral Experience","No Offer","Microsoft","Online",NA,"Tech"
"Difficult Interview","Positive Experience","No Offer","Microsoft","Employee Referral",NA,"Tech"
"Average Interview","Positive Experience","Offer","Microsoft","Staffing Agency",1,"Tech"
"Average Interview","Neutral Experience","No Offer","Microsoft","Online",NA,"Tech"
"Average Interview","Positive Experience","Offer","Microsoft","Online",NA,"Tech"
"Easy Interview","Positive Experience","No Offer","Microsoft","Staffing Agency",3,"Tech"
"Easy Interview","Positive Experience","No Offer","Microsoft","Online",NA,"Tech"
"Difficult Interview","Positive Experience","Offer","Microsoft","Staffing Agency",4,"Tech"
"Average Interview","Neutral Experience","Offer","Microsoft","Employee Referral",1,"Tech"
"Easy Interview","Neutral Experience","Offer","Microsoft","Employee Referral",1,"Tech"
"Average Interview","Negative Experience","No Offer","Microsoft","Online",NA,"Tech"
"Average Interview","Neutral Experience","No Offer","Microsoft","Other Source",NA,"Tech"
"Average Interview","Positive Experience","Offer","Microsoft","Employee Referral",28,"Tech"
"Difficult Interview","Positive Experience","Offer","Microsoft",NA,42,"Tech"
"Average Interview","Positive Experience","Offer","Microsoft","Online",180,"Tech"
"Difficult Interview","Positive Experience","Offer","Microsoft","Employee Referral",7,"Tech"
"Difficult Interview","Positive Experience","Offer","Microsoft","Employee Referral",2,"Tech"
"Difficult Interview","Neutral Experience","Offer","Microsoft","Recruiter",14,"Tech"
"Average Interview","Neutral Experience","No Offer","Microsoft","Employee Referral",14,"Tech"
"Average Interview","Neutral Experience","No Offer","Microsoft","College Or University",21,"Tech"
"Average Interview","Positive Experience","Offer","Microsoft","Employee Referral",28,"Tech"
